date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
1/15/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,KG,actual,Wholesale,KES,$16.13,$0.22
1/15/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize (white),90 KG,actual,Wholesale,KES,"$1,480.00",$20.50
1/15/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,KG,actual,Wholesale,KES,$33.63,$0.47
1/15/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,cereals and tubers,Maize (white),KG,actual,Retail,KES,$17.00,$0.24
1/15/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,cereals and tubers,Sorghum,90 KG,actual,Wholesale,KES,"$1,800.00",$24.94
1/15/2006,Eastern,Marsabit,Marsabit,2.333333,37.983333,cereals and tubers,Maize (white),KG,actual,Retail,KES,$21.00,$0.29
1/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Bread,400 G,actual,Retail,KES,$26.00,$0.36
1/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,KG,actual,Wholesale,KES,$15.48,$0.21
1/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize (white),90 KG,actual,Wholesale,KES,"$1,399.00",$19.38
1/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Potatoes (Irish),50 KG,actual,Wholesale,KES,$664.43,$9.21
1/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,milk and dairy,"Milk (cow, pasteurized)",500 ML,actual,Retail,KES,$22.00,$0.30
1/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,oil and fats,Oil (vegetable),L,actual,Retail,KES,$115.00,$1.59
1/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans,KG,actual,Wholesale,KES,$42.31,$0.59
1/15/2006,North Eastern,Mandera,Mandera,3.936804,41.858383,cereals and tubers,Maize (white),KG,actual,Retail,KES,$30.00,$0.42
1/15/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,actual,Wholesale,KES,$14.84,$0.21
1/15/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Potatoes (Irish),50 KG,actual,Wholesale,KES,"$1,074.07",$14.88
1/15/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Sorghum,90 KG,actual,Wholesale,KES,"$1,600.00",$22.17
1/15/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,actual,Wholesale,KES,$39.61,$0.55
1/15/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans (dry),90 KG,actual,Wholesale,KES,"$4,000.00",$55.42
1/15/2006,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,cereals and tubers,Maize (white),KG,actual,Retail,KES,$26.00,$0.36
1/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,pulses and nuts,Beans,KG,actual,Wholesale,KES,$45.85,$0.64
1/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,pulses and nuts,Beans (dry),90 KG,actual,Wholesale,KES,"$2,799.00",$38.78
2/15/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,KG,actual,Wholesale,KES,$16.41,$0.23
2/15/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,KG,actual,Wholesale,KES,$39.48,$0.55
2/15/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans (dry),90 KG,actual,Wholesale,KES,"$3,400.00",$47.42
2/15/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,cereals and tubers,Potatoes (Irish),50 KG,actual,Wholesale,KES,"$1,555.55",$21.70
2/15/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,cereals and tubers,Sorghum,90 KG,actual,Wholesale,KES,"$2,000.00",$27.89
2/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Bread,400 G,actual,Retail,KES,$26.00,$0.36
2/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,KG,actual,Wholesale,KES,$16.41,$0.23
2/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize (white),90 KG,actual,Wholesale,KES,"$1,488.00",$20.75
2/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Potatoes (Irish),50 KG,actual,Wholesale,KES,$694.44,$9.69
2/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Sorghum,90 KG,actual,Wholesale,KES,"$2,260.00",$31.52
2/15/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,milk and dairy,"Milk (cow, pasteurized)",500 ML,actual,Retail,KES,$25.00,$0.35
